TL|U|19|2|0|1|0.3|-1.068|1.425|1.036|15
RL|S|15|4|1|0|0.6|5.178|5.191|0.205|62
RS|S|14|5|1|1|0.6|3.093|3.104|0.901|129
RL|S|0|2|0|1|0.3|-1.028|1.078|1.015|9
TS|D|5|2|0|0|0.3|-1.069|0.865|1.041|0
TS|D|18|2|0|3|0.5|-1.023|1.273|1.009|24
RS|S|16|6|0|1|0.3|-1.045|4.097|1.022|37
RS|S|2|2|0|0|0.3|-1.043|1.857|1.024|34
RS|S|4|3|0|1|0.3|-1.044|0.23|1.021|4
RS|S|18|3|0|1|0.3|-1.059|1.114|1.027|18
RL|S|5|6|0|1|0.3|3.537|3.569|0.708|7
RL|S|1|3|0|1|0.3|-1.058|0.127|1.028|0
RS|S|17|4|0|1|0.3|-1.034|0.502|1.016|3
RS|S|13|5|1|0|0.6|-1.027|0.22|1.013|0
RS|S|0|2|0|1|0.3|3.96|3.979|0.119|53
TS|D|1|3|0|4|0.5|-1.036|0|1.017|1
TL|U|3|5|0|1|0.3|-1.034|0.074|1.017|3
TL|U|1|6|0|3|0.5|1.483|1.491|0.436|17
TL|U|18|2|0|1|0.3|1.439|1.467|0.135|0
TL|U|0|4|0|1|0.3|1.467|1.487|0.403|4
TL|U|9|4|1|1|0.6|1.466|1.48|0.591|13
TL|U|0|5|0|2|0.5|1.453|1.47|0.021|0
RL|S|19|5|0|2|0.5|-1.029|1.063|1.012|15
RL|S|0|6|0|1|0.3|-1.044|0.336|1.02|0
RL|S|5|6|0|1|0.3|4.315|4.335|0.047|23
RL|S|5|3|0|0|0.3|-1.039|0.921|1.02|31
RL|S|20|3|0|0|0.3|-1.916|0.618|1.892|12
TL|U|19|4|0|3|0.5|-1.027|1.443|1.013|22
TL|U|2|6|0|2|0.5|1.469|1.484|0.921|14
TL|U|23|1|0|1|0.3|1.462|1.481|0.403|0
TL|U|2|2|0|1|0.3|-1.039|0.533|1.022|10
TL|U|13|2|1|1|0.6|-1.028|0.245|1.015|1
RL|S|13|3|1|1|0.6|2.975|2.988|0.246|21
RL|S|15|4|1|0|0.6|2.892|2.904|0.705|37
RL|S|17|6|0|0|0.3|-1.033|0.662|1.017|2
TS|D|13|2|1|3|1|-1.017|0.093|1.009|22
TS|D|1|3|0|3|0.5|1.47|1.484|0.706|24
TS|D|14|3|1|1|0.6|1.476|1.489|0.58|13
TS|D|0|4|0|1|0.3|1.457|1.474|0.987|3
RS|S|2|5|0|0|0.3|-1.05|0.541|1.025|2
RS|S|8|5|1|0|0.6|-1.025|0.776|1.012|15
