timestamp,high,low,close
1784571600,28996.25,28938.25,28941.25
1784571900,28972.25,28931.75,28948
1784572200,28949.25,28894.25,28907
1784572500,28946.75,28897.5,28905.75
1784572800,28913.25,28859,28859.75
1784573100,28891.25,28855.75,28871.75
1784573400,28903.5,28864,28892.5
1784573700,28898.25,28855.25,28870.75
1784574000,28896,28836.5,28846.5
1784574300,28858.75,28832,28849
1784574600,28878.25,28807.75,28808.25
1784574900,28834,28796.25,28814.25
1784575200,28832.5,28796.25,28825
1784575500,28869.5,28798.5,28855
1784575800,28883.25,28834,28867
1784576100,28874.75,28837,28862.25
1784576400,28894.5,28854,28867
1784576700,28880,28841.5,28866.75
1784577000,28866.75,28793.5,28804.75
1784577300,28808.75,28767.75,28785.75
1784577600,28832,28784.25,28794.25
1784577900,28803,28766.75,28771.5
1784578200,28784,28768,28772.75
1784578500,28774.5,28754,28757.75
1784578800,28762.25,28750,28757.5
1784579100,28763.25,28750,28758.5
1784579400,28774,28757.25,28773.25
1784579700,28781.5,28770,28775.25
1784580000,28777,28763,28771
1784580300,28782.25,28769.75,28781
1784580600,28782.75,28768,28779
1784580900,28785,28773.5,28777.75
1784584800,28801.75,28728.25,28730.5
1784585100,28736.75,28704,28731.25
1784585400,28736.25,28720,28720.75
1784585700,28732.75,28711.25,28722
1784586000,28730,28715.5,28725.75
1784586300,28729.5,28709.75,28720
1784586600,28734,28700,28706.75
1784586900,28727.75,28703.25,28718.25
1784587200,28725,28712.25,28724.75
1784587500,28734,28705.75,28712.5
1784587800,28720.75,28707,28716.75
1784588100,28720.5,28714.25,28717.25
1784588400,28734.5,28706.5,28733.25
1784588700,28775.25,28733.25,28773
1784589000,28778.75,28756.25,28768.75
1784589300,28802.25,28765.25,28798.5
1784589600,28820,28794.5,28812.25
1784589900,28822.5,28805.75,28819.75
1784590200,28824.75,28811.25,28815.25
1784590500,28816,28807.5,28809.5
1784590800,28817,28804.5,28811.25
1784591100,28833,28798,28802.25
1784591400,28803,28757.5,28783.25
1784591700,28801.75,28773.5,28779.75
1784592000,28778.25,28722,28740
1784592300,28750.75,28706.5,28726.25
1784592600,28765.25,28709,28736
1784592900,28804.5,28709,28801.25
1784593200,28807,28770.5,28796.25
1784593500,28835,28781.75,28817.25
1784593800,28865,28813.75,28860
1784594100,28868.75,28841.25,28862
1784594400,28879.5,28852.75,28866
1784594700,28896.75,28855,28888.75
1784595000,28897,28875,28881.75
1784595300,28882.25,28856.25,28858.25
1784595600,28878.5,28836.5,28878.5
1784595900,28909.5,28872.5,28898.5
1784596200,28911.5,28893,28903.5
1784596500,28912.5,28872,28897
1784596800,28907.25,28882,28890.25
1784597100,28900.75,28880.75,28891
1784597400,28916.5,28885.25,28912
1784597700,28921.25,28883.75,28889.75
1784598000,28898.25,28866.25,28874.5
1784598300,28911.25,28869.75,28902.75
1784598600,28907.5,28884.25,28896.75
1784598900,28897.25,28871.25,28884
1784599200,28915,28877.25,28909
1784599500,28940,28895.25,28896.75
1784599800,28900,28879.5,28885
1784600100,28890.5,28859.25,28863.25
1784600400,28914,28859.25,28913
1784600700,28920.5,28892,28894
1784601000,28927,28893.25,28921
1784601300,28950,28920.5,28944.75
1784601600,28956.25,28939.5,28949
1784601900,28950,28933.75,28935.5
1784602200,28942,28928,28935.75
1784602500,28956.75,28933.5,28954.75
1784602800,28974.75,28951.25,28967.5
1784603100,28972.25,28964,28966.25
1784603400,28982,28966.25,28975
1784603700,28993.5,28971.5,28990.5
1784604000,28994.75,28985.75,28992.25
1784604300,28997.75,28984,28995.75
1784604600,29017,28992,29014.25
1784604900,29042.75,29012,29039.25
1784605200,29049.25,29033,29033.25
1784605500,29075,29033.5,29067.5
1784605800,29077,29062,29075
1784606100,29077.75,29055.5,29072.5
1784606400,29082.75,29060.25,29061.5
1784606700,29089.5,29058.5,29069
1784607000,29077,29064.75,29066.75
1784607300,29072.25,29059.5,29060
1784607600,29077.5,29054.75,29063
1784607900,29076.75,29061,29066
1784608200,29068.5,29057.75,29060.25
1784608500,29076,29059.25,29070.5
1784608800,29073,29057,29064.25
1784609100,29076.5,29058,29072.25
1784609400,29073,29051.75,29054
1784609700,29064,29048.5,29055
1784610000,29061.25,29052,29056.5
1784610300,29058.5,29047.75,29051.5
1784610600,29052,29033,29034.75
1784610900,29036.75,29016.75,29018.75
1784611200,29049.5,29017.75,29043.75
1784611500,29070.75,29040.25,29066.25
1784611800,29071,29037.25,29057.5
1784612100,29073,29054.5,29062.75
1784612400,29093.75,29062.25,29086.75
1784612700,29091.5,29070.25,29085.25
1784613000,29101,29084.25,29096.75
1784613300,29104.75,29092.75,29098.5
1784613600,29120,29095.5,29118.75
1784613900,29125.75,29106.25,29115.5
1784614200,29141,29109,29132.25
1784614500,29141.5,29125,29128.75
1784614800,29130,29108.25,29116.5
1784615100,29127.75,29110,29112.5
1784615400,29134.75,29112,29133.5
1784615700,29154.5,29127.75,29138
1784616000,29155,29135.75,29154
1784616300,29155.5,29130.5,29148
1784616600,29150.25,29136.5,29140.5
1784616900,29148.5,29137.75,29146.5
1784617200,29161.5,29139,29147.75
1784617500,29156,29134.5,29137.25
1784617800,29145.75,29117.5,29131.75
1784618100,29131.5,29114.25,29125.25
1784618400,29125,29100,29105.25
1784618700,29114,29092.5,29103.5
1784619000,29120,29087.75,29119.75
1784619300,29127,29114,29120
1784619600,29122.75,29108.5,29112.25
1784619900,29115.25,29092,29096.75
1784620200,29111,29091.75,29108
1784620500,29120.75,29104,29117
1784620800,29135,29104.25,29132.5
1784621100,29140.5,29126,29136.25
1784621400,29154.25,29121.75,29152.5
1784621700,29156.25,29140.5,29146.5
1784622000,29163.75,29141,29160.75
1784622300,29168.75,29152.75,29168.75
1784622600,29175.5,29160,29161.5
1784622900,29173.5,29157.5,29161.75
1784623200,29176.75,29156,29167
1784623500,29169.25,29149.25,29160.5
1784623800,29165.75,29154.25,29160.5
1784624100,29175,29156.5,29167.25
1784624400,29181.25,29162.25,29171
1784624700,29179.25,29167.5,29175.25
1784625000,29179.75,29167.75,29171.75
1784625300,29195.5,29171,29188.25
1784625600,29196.5,29176.25,29182
1784625900,29187.5,29162.25,29166.25
1784626200,29179.25,29154.75,29171.5
1784626500,29173,29150.75,29162
1784626800,29170.5,29155,29165.5
1784627100,29185.25,29162,29181.5
1784627400,29182.25,29170.25,29178.25
1784627700,29177.5,29152.75,29154
1784628000,29183.5,29154.75,29162.5
1784628300,29165.75,29155,29157.5
1784628600,29198.75,29155,29172
1784628900,29179.75,29167.75,29175.75
1784629200,29187.75,29173,29179.5
1784629500,29181.75,29164.75,29174.5
1784629800,29186.75,29169.25,29182.25
1784630100,29204,29175,29177.75
1784630400,29179,29164.5,29171.75
1784630700,29188,29155.25,29181
1784631000,29181.75,29164.25,29165.75
1784631300,29177.5,29161.5,29166.5
1784631600,29183.75,29141.75,29142.25
1784631900,29147.5,29134,29136.75
1784632200,29162.75,29133.25,29157.75
1784632500,29159.5,29128,29133.5
1784632800,29141.75,29120.75,29141.5
1784633100,29142.75,29117,29128.5
1784633400,29146.25,29126.5,29141.5
1784633700,29173,29140.25,29158
1784634000,29170.75,29155.25,29166
1784634300,29181.75,29163.25,29179.5
1784634600,29182.75,29152.5,29156
1784634900,29160,29144.5,29153.5
1784635200,29173,29146,29163.25
1784635500,29190,29158.25,29182.75
1784635800,29195.5,29173.5,29178.25
1784636100,29178.75,29138,29150.5
1784636400,29155.5,29135,29152
1784636700,29153.25,29133.25,29134.25
1784637000,29142.25,29127,29134
1784637300,29136.75,29118,29134.75
1784637600,29143.25,29111,29134.75
1784637900,29177.5,29134,29169.25
1784638200,29187.25,29164,29176.5
1784638500,29181.5,29170.5,29172.5
1784638800,29183.5,29163,29163.5
1784639100,29172.25,29156.5,29161.75
1784639400,29167.75,29156.75,29162.75
1784639700,29172.25,29156.25,29169.25
1784640000,29181.5,29167.25,29178.5
1784640300,29224,29178.5,29221.75
1784640600,29246.75,29133,29147.25
1784640900,29225,29137.5,29190
1784641200,29193.25,29129,29144.25
1784641500,29154,29095.25,29143
1784641800,29178.5,29117.5,29141.25
1784642100,29163.75,29092.5,29153.25
1784642400,29189.75,29086.75,29113.5
1784642700,29139,29073.5,29079.75
1784643000,29137.5,29063,29130.5
1784643300,29162.75,29066.5,29158.25
1784643600,29173.25,29111.75,29147.75
1784643900,29218.5,29141.25,29207.5
1784644200,29230.5,29202.75,29217.75
1784644500,29235.5,29186,29204.5
1784644800,29225.75,29162.5,29224.75
